case:concept:name,concept:name,time:timestamp
1,check_inbox_item,2024-06-07 21:34:25.493914+00:00
1,click_get,2024-06-07 21:34:29.730618+00:00
1,wait_1,2024-06-07 21:34:40.009218+00:00
1,wait_1,2024-06-07 21:34:45.008668+00:00
1,check,2024-06-07 21:34:50.006512+00:00
1,selectReport,2024-06-07 21:34:50.011512+00:00
1,ctrl,2024-06-07 21:34:53.740020+00:00
1,wrongState,2024-06-07 21:34:54.824177+00:00
1,insertName_1,2024-06-07 21:35:07.506387+00:00
1,selectBusinessStrategies_1,2024-06-07 21:35:31.900011+00:00
1,insertType,2024-06-07 21:35:36.511471+00:00
1,insertName_2,2024-06-07 21:35:36.516471+00:00
1,insertCategory,2024-06-07 21:35:54.717073+00:00
1,selectBusinessStrategies_2,2024-06-07 21:36:31.766689+00:00
1,selectGoals,2024-06-07 21:42:21.782921+00:00
1,selectCheckboxes,2024-06-07 21:42:28.865477+00:00
1,Edit Goals next,2024-06-07 21:42:39.989511+00:00
1,Assign,2024-06-07 21:42:44.015968+00:00
1,backToTable,2024-06-07 21:42:47.083617+00:00
1,insertTarget,2024-06-07 21:42:47.088617+00:00
1,clickSaveChanges,2024-06-07 21:42:48.860339+00:00
1,thEnd,2024-06-07 21:42:50.105180+00:00
1,info,2024-06-07 21:42:50.110180+00:00
1,click,2024-06-16 19:59:53.421203+00:00
1,check_inbox_item,2024-06-16 19:59:53.431203+00:00
1,click_get,2024-06-16 20:00:03.014713+00:00
1,wait_1,2024-06-16 20:00:08.129425+00:00
1,wait_1,2024-06-16 20:00:20.271074+00:00
1,check,2024-06-16 20:00:32.497467+00:00
1,info,2024-06-16 20:00:32.864368+00:00
1,selectReport,2024-06-16 20:00:32.869368+00:00
1,ctrl,2024-06-16 20:00:38.878873+00:00
1,wrongState,2024-06-16 20:00:39.970596+00:00
1,insertName_1,2024-06-16 20:01:04.486312+00:00
1,selectBusinessStrategies_1,2024-06-16 20:01:12.310840+00:00
1,insertType,2024-06-16 20:01:45.473586+00:00
1,insertTarget,2024-06-16 20:01:46.620128+00:00
1,clickSaveChanges,2024-06-16 20:01:51.449368+00:00
1,insertName_2,2024-06-16 20:01:51.454368+00:00
1,insertCategory,2024-06-16 20:02:18.971874+00:00
1,selectBusinessStrategies_2,2024-06-16 20:02:20.945259+00:00
1,selectGoals,2024-06-16 20:05:40.496632+00:00
1,selectCheckboxes,2024-06-16 20:05:45.162340+00:00
1,Edit Goals next,2024-06-16 20:05:51.762401+00:00
1,Assign,2024-06-16 20:05:53.773300+00:00
1,backToTable,2024-06-16 20:05:55.182333+00:00
1,thEnd,2024-06-16 20:05:55.187333+00:00
1,click,2024-06-16 20:05:55.192333+00:00
1,check_inbox_item,2024-06-16 20:05:55.202333+00:00
1,click_get,2024-06-16 20:05:59.439037+00:00
1,wait_1,2024-06-16 20:06:09.717637+00:00
1,wait_1,2024-06-16 20:06:14.717087+00:00
1,check,2024-06-16 20:06:19.714931+00:00
1,insertName_3,2024-06-16 20:06:19.719931+00:00
1,selectReport,2024-06-16 20:06:19.724931+00:00
1,ctrl,2024-06-16 20:06:23.453439+00:00
1,wrongState,2024-06-16 20:06:24.537596+00:00
1,insertName_1,2024-06-16 20:06:37.219806+00:00
1,selectBusinessStrategies_1,2024-06-16 20:07:01.613430+00:00
1,insertType,2024-06-16 20:07:06.224890+00:00
1,insertTarget,2024-06-16 20:07:11.255918+00:00
1,clickSaveChanges,2024-06-16 20:07:13.027640+00:00
1,thEnd,2024-06-16 20:07:14.272481+00:00
1,insertCategory,2024-06-16 20:07:14.277481+00:00
1,selectBusinessStrategies_2,2024-06-16 20:09:14.704954+00:00
1,selectGoals,2024-06-16 20:09:23.847791+00:00
