case:concept:name,time:timestamp,concept:name,segment_id,routine_type,log_number
10961300_seg_1,2024-08-24 10:04:45.741392+00:00,start_1,10961300_seg_1,1,1
10961300_seg_1,2024-08-24 10:04:46.741392+00:00,search_customer_1,10961300_seg_1,1,1
10961300_seg_1,2024-08-24 10:04:49.583599+00:00,click_new_1,10961300_seg_1,1,1
10961300_seg_1,2024-08-24 10:04:52.169919+00:00,select_sold_to_1,10961300_seg_1,1,1
10961300_seg_1,2024-08-24 10:04:55.250810+00:00,click_ok_1,10961300_seg_1,1,1
10961300_seg_1,2024-08-24 10:05:08.471683+00:00,insert_description_1,10961300_seg_1,1,1
10961300_seg_1,2024-08-24 13:38:47.918102+00:00,end_1,10961300_seg_1,1,1
14b92a49_seg_3,2024-06-07 21:33:02.296720+00:00,start_2,14b92a49_seg_3,2,1
14b92a49_seg_3,2024-06-07 21:33:03.296720+00:00,search_customer_2,14b92a49_seg_3,2,1
14b92a49_seg_3,2024-06-07 21:33:25.691522+00:00,click_new_2,14b92a49_seg_3,2,1
14b92a49_seg_3,2024-06-07 21:34:15.605535+00:00,select_sold_to_2,14b92a49_seg_3,2,1
14b92a49_seg_3,2024-06-07 21:34:17.325133+00:00,click_ok_2,14b92a49_seg_3,2,1
14b92a49_seg_3,2024-06-07 21:34:25.493914+00:00,insert_description_2,14b92a49_seg_3,2,1
14b92a49_seg_3,2024-06-07 21:34:35.138843+00:00,insert_name_2,14b92a49_seg_3,2,1
14b92a49_seg_3,2024-06-07 21:34:47.413621+00:00,insert_search_terms_2,14b92a49_seg_3,2,1
14b92a49_seg_3,2024-06-07 21:35:37.547286+00:00,insert_house_number_2,14b92a49_seg_3,2,1
14b92a49_seg_3,2024-06-07 21:41:02.453072+00:00,insert_postal_code_2,14b92a49_seg_3,2,1
14b92a49_seg_3,2024-06-07 21:41:03.615021+00:00,insert_country_2,14b92a49_seg_3,2,1
14b92a49_seg_3,2024-06-07 21:41:05.283832+00:00,insert_transportation_zone_2,14b92a49_seg_3,2,1
14b92a49_seg_3,2024-06-07 21:41:05.690485+00:00,insert_language_2,14b92a49_seg_3,2,1
14b92a49_seg_3,2024-06-07 21:41:07.780105+00:00,insert_transportation_zone2_2,14b92a49_seg_3,2,1
14b92a49_seg_3,2024-06-07 21:41:09.449655+00:00,tax_number_closed_2,14b92a49_seg_3,2,1
14b92a49_seg_3,2024-06-07 21:41:09.782974+00:00,tax_number_new_2,14b92a49_seg_3,2,1
14b92a49_seg_3,2024-06-07 21:41:32.210922+00:00,vendor_sec_closed_2,14b92a49_seg_3,2,1
14b92a49_seg_3,2024-06-07 21:41:32.574310+00:00,click_new_erp_customer_2,14b92a49_seg_3,2,1
14b92a49_seg_3,2024-06-07 21:41:44.534597+00:00,insert_customer_type_2,14b92a49_seg_3,2,1
14b92a49_seg_3,2024-06-07 21:42:22.940580+00:00,click_new_erp_company_code_2,14b92a49_seg_3,2,1
14b92a49_seg_3,2024-06-07 21:42:32.646808+00:00,insert_company_code_2,14b92a49_seg_3,2,1
14b92a49_seg_3,2024-06-07 21:42:39.686067+00:00,click_done2_2,14b92a49_seg_3,2,1
14b92a49_seg_3,2024-06-07 21:42:44.095096+00:00,click_new_erp_sales_2,14b92a49_seg_3,2,1
14b92a49_seg_3,2024-06-07 21:43:47.353462+00:00,insert_sales_org_2,14b92a49_seg_3,2,1
14b92a49_seg_3,2024-06-07 21:44:02.405553+00:00,insert_sales_district_2,14b92a49_seg_3,2,1
14b92a49_seg_3,2024-06-07 21:44:23.696046+00:00,insert_sales_office_2,14b92a49_seg_3,2,1
14b92a49_seg_3,2024-06-07 21:44:25.512750+00:00,insert_sales_group_2,14b92a49_seg_3,2,1
14b92a49_seg_3,2024-06-07 21:44:28.567005+00:00,insert_procedure_2,14b92a49_seg_3,2,1
14b92a49_seg_3,2024-06-07 21:44:56.538374+00:00,insert_shipping conditions_2,14b92a49_seg_3,2,1
14b92a49_seg_3,2024-06-07 21:45:19.354954+00:00,insert_incoterms_2,14b92a49_seg_3,2,1
14b92a49_seg_3,2024-06-07 21:45:36.767614+00:00,insert_customer_group_2,14b92a49_seg_3,2,1
14b92a49_seg_3,2024-06-07 21:48:34.795830+00:00,partner_functions_2,14b92a49_seg_3,2,1
14b92a49_seg_3,2024-06-07 21:49:07.436207+00:00,customer_hierarchies_2,14b92a49_seg_3,2,1
14b92a49_seg_3,2024-06-07 21:50:00.691990+00:00,click_done3_2,14b92a49_seg_3,2,1
14b92a49_seg_3,2024-06-07 21:50:10.418469+00:00,insert_sales_user_address_2,14b92a49_seg_3,2,1
14b92a49_seg_3,2024-06-08 14:08:34.867915+00:00,click_done4_2,14b92a49_seg_3,2,1
14b92a49_seg_3,2024-06-08 14:08:51.289357+00:00,click_check_2,14b92a49_seg_3,2,1
14b92a49_seg_3,2024-06-08 14:09:00.078387+00:00,error_2,14b92a49_seg_3,2,1
14b92a49_seg_3,2024-06-08 14:09:02.862971+00:00,click_submit_2,14b92a49_seg_3,2,1
14b92a49_seg_3,2024-06-08 14:09:15.416840+00:00,end_2,14b92a49_seg_3,2,1
1db354c_seg_6,2024-02-23 16:25:38.848749+00:00,start_2,1db354c_seg_6,2,1
1db354c_seg_6,2024-02-23 16:25:39.848749+00:00,search_customer_2,1db354c_seg_6,2,1
1db354c_seg_6,2024-02-23 16:25:44.599434+00:00,click_new_2,1db354c_seg_6,2,1
1db354c_seg_6,2024-02-23 16:25:49.151010+00:00,select_sold_to_2,1db354c_seg_6,2,1
1db354c_seg_6,2024-02-23 16:25:51.209957+00:00,click_ok_2,1db354c_seg_6,2,1
1db354c_seg_6,2024-02-23 16:25:58.721861+00:00,insert_description_2,1db354c_seg_6,2,1
1db354c_seg_6,2024-02-23 16:26:18.248639+00:00,insert_name_2,1db354c_seg_6,2,1
1db354c_seg_6,2024-02-23 16:26:37.226861+00:00,insert_search_terms_2,1db354c_seg_6,2,1
1db354c_seg_6,2024-02-23 16:27:02.825092+00:00,insert_house_number_2,1db354c_seg_6,2,1
1db354c_seg_6,2024-02-23 16:30:07.426699+00:00,insert_postal_code_2,1db354c_seg_6,2,1
1db354c_seg_6,2024-02-23 16:30:08.984998+00:00,insert_country_2,1db354c_seg_6,2,1
1db354c_seg_6,2024-02-23 16:30:11.209875+00:00,insert_transportation_zone_2,1db354c_seg_6,2,1
1db354c_seg_6,2024-02-23 16:30:11.642403+00:00,insert_language_2,1db354c_seg_6,2,1
1db354c_seg_6,2024-02-23 16:30:13.581840+00:00,insert_transportation_zone2_2,1db354c_seg_6,2,1
1db354c_seg_6,2024-02-23 16:30:15.543274+00:00,tax_number_closed_2,1db354c_seg_6,2,1
1db354c_seg_6,2024-02-23 16:30:15.954777+00:00,tax_number_new_2,1db354c_seg_6,2,1
1db354c_seg_6,2024-02-23 16:30:50.008208+00:00,vendor_sec_closed_2,1db354c_seg_6,2,1
1db354c_seg_6,2024-02-23 16:30:50.686249+00:00,click_new_erp_customer_2,1db354c_seg_6,2,1
1db354c_seg_6,2024-02-23 16:31:02.373143+00:00,insert_customer_type_2,1db354c_seg_6,2,1
1db354c_seg_6,2024-02-23 16:31:13.842878+00:00,click_new_erp_company_code_2,1db354c_seg_6,2,1
1db354c_seg_6,2024-02-23 16:31:19.015817+00:00,insert_company_code_2,1db354c_seg_6,2,1
1db354c_seg_6,2024-02-23 16:31:27.015421+00:00,click_done2_2,1db354c_seg_6,2,1
1db354c_seg_6,2024-02-23 16:31:32.612908+00:00,click_new_erp_sales_2,1db354c_seg_6,2,1
1db354c_seg_6,2024-02-23 16:31:38.560942+00:00,insert_sales_org_2,1db354c_seg_6,2,1
1db354c_seg_6,2024-02-23 16:31:49.771863+00:00,insert_sales_district_2,1db354c_seg_6,2,1
1db354c_seg_6,2024-02-23 16:33:11.697980+00:00,insert_sales_office_2,1db354c_seg_6,2,1
